collision_date,year,mo,da,day,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_COLLISIONS
2017-01-20,2017,01,20,5,39.9,32.5,1015.5,10.0,4.3,9.9,999.9,45.0,37.0,0.0,999.9,0,605
2013-01-29,2013,01,29,2,35.4,34.9,1019.0,2.6,4.9,9.9,999.9,37.4,33.1,0.08,999.9,1,542
2020-01-04,2020,01,04,6,45.4,43.9,1005.6,3.6,5.7,9.9,999.9,48.9,44.1,0.08,999.9,1,347
2013-01-11,2013,01,11,5,38.0,31.4,1030.6,10.0,5.4,11.1,999.9,44.1,32.0,0.0,999.9,0,660
2013-01-09,2013,01,09,3,39.9,37.6,1026.2,6.8,5.3,11.1,999.9,46.0,28.0,0.0,999.9,1,487
2018-01-22,2018,01,22,1,36.4,35.9,1023.6,7.6,4.0,11.1,999.9,48.9,27.0,0.0,999.9,0,559
2020-01-23,2020,01,23,4,32.3,26.5,1029.2,9.7,4.7,11.1,999.9,45.0,17.1,0.0,999.9,0,450
2014-01-16,2014,01,16,4,40.8,39.3,1010.6,4.6,5.9,11.1,999.9,46.0,32.0,0.0,999.9,0,521
2014-01-10,2014,01,10,5,28.8,22.6,1034.1,9.7,5.8,11.1,999.9,39.2,12.9,0.0,999.9,0,667
2016-01-17,2016,01,17,7,40.2,32.3,1007.3,9.2,7.7,12.0,18.1,51.1,36.0,0.77,999.9,0,451
2014-01-09,2014,01,09,4,23.5,8.3,1034.2,10.0,7.9,12.0,20.0,28.9,12.0,0.0,999.9,0,561
2015-01-22,2015,01,22,4,35.5,30.5,1021.0,8.4,8.4,12.0,999.9,39.0,25.0,0.13,999.9,0,508
2014-01-13,2014,01,13,1,38.6,31.2,1018.7,9.2,7.7,12.0,999.9,46.9,28.9,0.01,999.9,0,568
2018-01-03,2018,01,03,3,25.6,18.3,1025.1,10.0,6.7,12.0,999.9,35.1,10.9,0.0,999.9,0,645
2018-01-11,2018,01,11,4,38.5,38.0,1030.1,10.0,8.6,12.0,999.9,45.0,21.9,0.0,999.9,0,696
2018-01-21,2018,01,21,7,39.7,31.7,1018.2,10.0,7.2,12.0,999.9,48.9,28.0,0.0,999.9,0,418
2017-01-02,2017,01,02,1,37.4,28.7,1032.0,10.0,7.1,12.0,999.9,50.0,26.1,0.03,999.9,0,449
2013-01-12,2013,01,12,6,42.7,41.5,1022.6,7.1,7.9,13.0,20.0,46.4,39.2,0.17,999.9,0,475
2019-01-23,2019,01,23,3,31.6,23.8,1029.6,9.4,8.3,13.0,999.9,42.1,8.1,0.0,999.9,0,553
2015-01-11,2015,01,11,7,27.1,12.1,1035.5,10.0,8.8,13.0,17.1,37.0,19.9,0.0,999.9,0,341
2019-01-18,2019,01,18,5,33.2,28.1,1023.0,8.3,6.8,13.0,999.9,39.9,23.0,0.0,999.9,0,596
2017-01-06,2017,01,06,5,31.7,25.8,1015.2,6.1,8.9,13.0,999.9,41.0,28.9,0.03,999.9,1,600
2016-01-07,2016,01,07,4,40.5,29.9,1026.9,10.0,6.8,13.0,999.9,46.9,24.1,0.0,999.9,0,542
2015-01-29,2015,01,29,4,29.2,20.9,1022.9,10.0,8.5,13.0,20.0,36.0,19.0,0.0,999.9,0,519
2019-01-15,2019,01,15,2,29.4,18.7,1017.5,10.0,7.4,13.0,999.9,35.1,21.9,0.0,999.9,0,618
2015-01-14,2015,01,14,3,32.1,24.0,1031.2,8.0,9.6,13.0,22.9,37.0,26.1,0.15,999.9,0,506
2019-01-13,2019,01,13,7,26.0,12.8,1030.5,10.0,8.0,13.0,15.9,30.9,18.0,0.0,999.9,0,374
2015-01-21,2015,01,21,3,32.3,17.7,1018.1,10.0,7.9,13.0,999.9,39.0,25.0,0.0,999.9,0,495
2016-01-15,2016,01,15,5,36.5,25.6,1014.8,10.0,7.2,13.0,999.9,45.0,24.1,0.0,999.9,0,722
2019-01-19,2019,01,19,6,34.5,29.7,1022.0,9.8,6.9,13.0,21.0,39.9,30.9,0.07,999.9,0,479
2013-01-17,2013,01,17,4,39.4,34.6,1014.2,8.6,8.6,14.0,20.0,41.0,37.0,0.47,999.9,1,491
2019-01-29,2019,01,29,2,33.8,23.7,1016.7,10.0,9.6,14.0,999.9,42.1,30.0,0.0,999.9,0,681
2015-01-12,2015,01,12,1,40.9,35.6,1028.3,7.7,6.3,14.0,29.9,52.0,21.0,0.0,999.9,1,580
2019-01-02,2019,01,02,3,35.0,23.4,1022.9,10.0,10.3,14.0,24.1,55.0,28.0,0.61,999.9,0,502
2017-01-17,2017,01,17,2,40.0,30.9,1023.1,9.6,8.4,14.0,21.0,44.1,37.0,0.0,999.9,0,657
2014-01-29,2014,01,29,3,20.3,10.4,1021.2,6.3,8.1,14.0,999.9,27.0,17.1,0.02,999.9,0,649
2018-01-17,2018,01,17,3,36.0,35.2,1024.3,5.5,7.7,14.0,999.9,41.0,28.0,0.17,999.9,1,611
2016-01-12,2016,01,12,2,33.0,19.1,1015.4,10.0,7.9,14.0,999.9,50.0,19.9,0.0,999.9,0,637
2013-01-28,2013,01,28,1,27.3,10.8,1028.9,8.8,7.4,14.0,20.0,32.0,21.9,0.0,999.9,0,507
2017-01-19,2017,01,19,4,40.7,36.9,1014.4,7.4,7.6,14.0,22.0,45.0,37.0,0.1,999.9,0,610
2018-01-10,2018,01,10,3,31.4,24.2,1029.7,10.0,6.6,14.0,999.9,42.1,21.9,0.0,999.9,0,687
2015-01-30,2015,01,30,5,35.1,31.1,1012.2,8.4,8.1,15.0,999.9,41.0,23.0,0.0,999.9,0,622
2014-01-31,2014,01,31,5,33.7,26.7,1020.9,9.9,9.1,15.0,19.0,37.4,28.9,0.0,999.9,0,560
2013-01-06,2013,01,06,7,35.7,31.3,1019.7,9.8,5.9,15.0,20.0,44.1,23.0,0.01,999.9,0,393
2017-01-30,2017,01,30,1,34.0,23.1,1006.1,9.7,6.5,15.0,22.0,43.0,24.1,0.0,999.9,0,545
2014-01-14,2014,01,14,2,45.5,43.2,1012.5,5.2,11.8,15.0,22.0,48.0,28.9,0.0,999.9,1,559
2017-01-29,2017,01,29,7,38.0,26.4,1005.7,9.9,10.2,15.0,22.0,43.0,34.0,0.0,999.9,0,428
2017-01-16,2017,01,16,1,31.6,20.7,1029.0,10.0,6.2,15.0,18.1,43.0,21.0,0.0,999.9,0,477
2013-01-15,2013,01,15,2,42.3,38.3,1023.1,9.5,8.0,15.0,999.9,48.9,39.0,0.24,999.9,0,516
2018-01-19,2018,01,19,5,28.9,21.4,1014.3,10.0,10.5,15.0,21.0,34.0,24.1,0.0,999.9,0,599
2017-01-22,2017,01,22,7,43.2,40.4,1008.1,4.5,8.4,15.0,21.0,53.1,39.0,0.0,999.9,1,411
2016-01-27,2016,01,27,3,43.0,36.7,1014.0,7.5,9.4,15.0,999.9,48.0,36.0,0.0,999.9,0,670
2016-01-30,2016,01,30,6,37.8,27.3,1011.0,10.0,11.6,15.0,22.9,45.0,34.0,0.0,999.9,0,596
2018-01-18,2018,01,18,4,32.4,29.5,1013.5,8.4,10.2,15.0,19.0,41.0,28.9,0.04,999.9,0,634
2014-01-24,2014,01,24,5,14.8,-0.5,1022.4,10.0,11.8,15.9,22.9,23.0,9.0,0.0,999.9,0,705
2014-01-15,2014,01,15,3,41.1,38.4,1013.3,6.5,6.0,15.9,24.1,48.9,32.0,0.62,999.9,0,583
2013-01-26,2013,01,26,6,24.4,16.6,1016.4,8.6,10.5,15.9,19.0,28.0,21.9,0.0,999.9,0,558
2020-01-21,2020,01,21,2,27.8,15.2,1026.8,10.0,11.5,15.9,999.9,34.0,21.9,0.0,999.9,0,554
2014-01-30,2014,01,30,4,22.0,5.8,1027.2,10.0,8.1,15.9,24.1,27.0,12.9,0.01,999.9,0,657
2013-01-02,2013,01,02,3,27.5,12.1,1013.4,10.0,12.4,15.9,25.1,33.1,21.9,0.0,999.9,0,480
2016-01-09,2016,01,09,6,45.9,38.6,1022.7,10.0,9.3,15.9,21.0,50.0,30.9,0.0,999.9,0,554
2015-01-23,2015,01,23,5,31.6,20.4,1022.8,10.0,10.4,15.9,999.9,39.0,27.0,0.09,999.9,0,598
2013-01-14,2013,01,14,1,47.2,47.1,1017.5,1.3,8.2,15.9,21.0,51.8,44.6,0.0,999.9,1,542
2019-01-26,2019,01,26,6,30.5,15.4,1022.6,10.0,7.9,15.9,21.0,37.9,21.0,0.0,999.9,0,533
2019-01-27,2019,01,27,7,35.1,28.2,1021.8,9.9,7.8,17.1,999.9,44.1,21.0,0.0,999.9,0,445
2014-01-08,2014,01,08,3,18.2,5.0,1028.1,10.0,12.0,17.1,26.0,34.0,12.0,0.0,999.9,0,616
2013-01-08,2013,01,08,2,39.8,34.1,1028.8,9.8,10.4,17.1,25.1,48.0,25.0,0.0,999.9,0,513
2016-01-31,2016,01,31,7,45.0,39.0,1014.8,8.6,12.5,17.1,24.1,50.0,34.0,0.0,999.9,0,532
2013-01-07,2013,01,07,1,35.9,31.0,1020.5,8.8,8.5,17.1,22.0,42.1,28.0,0.01,999.9,0,521
2015-01-15,2015,01,15,4,35.8,33.6,1015.5,2.8,14.1,17.1,24.1,37.9,28.0,0.03,999.9,0,548
2016-01-26,2016,01,26,2,42.2,36.4,1021.5,9.1,11.1,17.1,999.9,48.2,28.9,0.0,999.9,0,734
2014-01-27,2014,01,27,1,38.8,32.3,1008.0,8.8,12.3,17.1,22.9,45.0,21.0,0.0,999.9,0,511
2015-01-03,2015,01,03,6,34.5,19.8,1033.9,9.5,11.1,17.1,26.0,45.0,30.0,0.0,999.9,0,456
2020-01-10,2020,01,10,5,39.7,32.2,1036.6,9.3,11.3,17.1,24.1,50.0,21.0,0.0,999.9,0,520
2018-01-14,2018,01,14,7,27.0,21.7,1028.8,10.0,14.5,17.1,25.1,30.9,24.8,0.01,999.9,0,494
2016-01-01,2016,01,01,5,41.2,28.0,1015.1,9.8,10.2,17.1,24.1,44.1,37.4,0.43,999.9,0,393
2014-01-28,2014,01,28,2,22.2,-1.3,1020.6,10.0,10.7,17.1,25.1,45.0,17.1,0.0,999.9,0,504
2020-01-29,2020,01,29,3,35.3,22.5,1013.1,10.0,12.9,17.1,22.9,43.0,30.0,0.0,999.9,0,491
2019-01-17,2019,01,17,4,29.4,15.0,1024.6,10.0,11.2,17.1,25.1,43.0,19.0,0.0,999.9,0,586
2018-01-25,2018,01,25,4,28.0,12.4,1021.1,10.0,13.2,17.1,24.1,44.1,23.0,0.0,999.9,0,602
2017-01-21,2017,01,21,6,42.3,37.5,1011.3,6.7,7.5,17.1,20.0,46.0,37.0,0.0,999.9,1,475
2015-01-10,2015,01,10,6,26.9,10.0,1025.0,10.0,10.2,17.1,22.0,30.0,21.9,0.0,999.9,0,481
2020-01-28,2020,01,28,2,39.4,28.8,1005.1,10.0,9.8,17.1,21.0,45.0,36.0,0.0,999.9,0,404
2016-01-06,2016,01,06,3,33.5,19.3,1033.1,10.0,8.3,17.1,999.9,45.0,21.0,0.0,999.9,0,625
2020-01-18,2020,01,18,6,23.5,14.3,1032.4,9.6,8.4,17.1,29.9,33.1,19.0,0.0,999.9,1,773
2018-01-27,2018,01,27,6,36.8,30.7,1034.3,10.0,12.2,18.1,24.1,46.0,17.1,0.0,999.9,0,510
2020-01-27,2020,01,27,1,40.1,33.8,1004.3,10.0,10.5,18.1,24.1,51.1,36.0,0.01,999.9,0,451
2017-01-09,2017,01,09,1,18.3,5.7,1035.5,10.0,11.0,18.1,22.9,28.0,15.1,0.0,999.9,0,669
2018-01-28,2018,01,28,7,43.4,43.2,1025.3,4.4,9.5,18.1,999.9,46.0,28.9,0.01,999.9,1,412
2017-01-26,2017,01,26,4,44.3,39.9,997.4,9.0,9.7,18.1,24.1,50.0,37.9,0.02,999.9,0,563
2013-01-03,2013,01,03,4,21.8,7.8,1018.1,10.0,9.8,18.1,24.1,28.9,16.0,0.0,999.9,0,549
2017-01-01,2017,01,01,7,44.4,33.6,1017.4,9.0,13.4,18.1,27.0,48.0,39.0,0.03,999.9,0,485
2017-01-14,2017,01,14,6,29.8,13.4,1035.9,10.0,10.2,18.1,25.1,50.0,25.0,0.0,999.9,0,495
2014-01-05,2014,01,05,7,37.8,33.5,1026.0,9.0,8.6,18.1,25.1,42.1,27.0,0.0,999.9,0,320
2019-01-04,2019,01,04,5,39.0,30.2,1014.4,9.8,9.9,18.1,26.0,46.9,30.9,0.01,999.9,0,598
2019-01-11,2019,01,11,5,28.6,13.4,1013.9,10.0,14.2,18.1,26.0,37.0,26.1,0.0,999.9,0,644
2018-01-31,2018,01,31,3,25.0,14.8,1019.2,10.0,13.1,18.1,25.1,37.0,19.9,0.18,999.9,0,596
2018-01-01,2018,01,01,1,9.5,-0.5,1022.2,10.0,15.0,18.1,25.1,21.0,5.0,0.0,999.9,0,454
2014-01-18,2014,01,18,6,38.8,35.8,1009.2,8.7,7.9,19.0,28.0,44.1,28.0,0.0,999.9,0,448
2017-01-18,2017,01,18,3,41.6,38.5,1015.9,4.5,13.8,19.0,24.1,44.1,36.0,0.26,999.9,0,549
2017-01-31,2017,01,31,2,28.1,14.6,1013.1,8.2,9.8,19.0,28.0,39.9,21.9,0.0,999.9,1,571
2019-01-08,2019,01,08,2,36.3,30.8,1025.7,6.7,9.3,19.0,999.9,46.9,21.9,0.0,999.9,1,571
2019-01-12,2019,01,12,6,23.1,3.7,1029.0,10.0,12.9,19.0,28.0,32.0,18.0,0.0,999.9,0,520
2019-01-03,2019,01,03,4,39.4,32.9,1015.6,9.5,9.2,19.0,24.1,46.9,28.0,0.0,999.9,0,504
2013-01-30,2013,01,30,3,45.1,44.0,1013.9,4.4,12.4,19.0,25.1,48.2,37.0,0.03,999.9,1,497
2018-01-12,2018,01,12,5,43.7,43.7,1021.7,5.6,13.4,19.0,27.0,48.0,30.9,0.0,999.9,1,704
2016-01-02,2016,01,02,6,37.7,22.9,1014.3,10.0,12.5,19.0,25.1,44.1,34.0,0.03,999.9,0,422
2015-01-02,2015,01,02,5,40.4,21.5,1018.3,10.0,13.1,19.0,31.1,45.0,28.0,0.0,999.9,0,442
2019-01-28,2019,01,28,1,35.7,27.3,1016.0,9.8,11.3,19.0,26.0,44.1,28.9,0.0,999.9,0,565
2017-01-12,2017,01,12,4,47.8,45.5,1021.7,5.4,12.6,19.0,24.1,53.1,42.1,0.42,999.9,0,646
2018-01-07,2018,01,07,7,9.3,-0.5,1028.3,10.0,12.7,19.0,27.0,19.9,1.9,0.0,999.9,0,476
2019-01-10,2019,01,10,4,34.9,21.2,998.6,9.7,14.7,19.0,32.1,46.9,32.0,0.01,999.9,0,580
2014-01-23,2014,01,23,4,16.5,5.1,1014.4,9.7,11.1,19.0,24.1,28.9,9.0,0.0,999.9,0,612
2017-01-15,2017,01,15,7,33.6,24.8,1025.3,9.0,10.8,19.0,22.9,36.0,25.0,0.01,999.9,0,490
2018-01-16,2018,01,16,2,32.3,28.9,1032.0,8.2,8.8,19.0,26.0,37.9,28.0,0.0,999.9,0,617
2019-01-16,2019,01,16,3,31.3,23.1,1017.3,9.8,9.1,19.0,26.0,43.0,19.0,0.0,999.9,0,579
2014-01-06,2014,01,06,1,46.3,45.1,1007.0,2.5,14.8,20.0,26.0,52.0,41.0,0.04,999.9,1,518
2018-01-15,2018,01,15,1,31.6,24.5,1034.9,9.1,15.4,20.0,25.1,37.9,25.0,0.0,999.9,0,523
2013-01-20,2013,01,20,7,46.3,41.2,1010.0,7.0,14.9,20.0,26.0,50.0,43.0,0.0,999.9,0,393
2018-01-24,2018,01,24,3,41.1,36.1,1008.5,8.8,13.9,20.0,28.9,51.1,34.0,0.68,999.9,1,615
2018-01-02,2018,01,02,2,14.7,2.0,1024.9,10.0,12.9,20.0,31.1,18.0,5.0,0.0,999.9,0,654
2019-01-06,2019,01,06,7,39.7,34.0,1007.1,9.6,13.1,20.0,28.9,46.9,34.0,0.86,999.9,0,376
2016-01-08,2016,01,08,5,41.3,33.1,1022.3,9.9,11.8,20.0,28.0,48.0,30.9,0.0,999.9,0,602
2015-01-20,2015,01,20,2,35.7,23.4,1009.5,10.0,13.1,20.0,26.0,44.1,33.1,0.03,999.9,0,500
2013-01-05,2013,01,05,6,37.3,24.5,1017.3,10.0,13.2,20.0,28.0,42.1,30.9,0.0,999.9,0,389
2013-01-22,2013,01,22,2,26.3,18.1,1011.1,6.5,10.8,20.0,26.0,32.0,19.9,0.14,999.9,1,544
2013-01-21,2013,01,21,1,31.2,16.0,1015.5,9.2,10.1,20.0,26.0,45.0,27.0,0.0,999.9,0,355
2016-01-14,2016,01,14,4,28.9,14.7,1013.1,8.1,11.4,20.0,27.0,37.9,27.0,0.01,999.9,0,597
2016-01-21,2016,01,21,4,30.9,10.8,1015.8,10.0,14.5,20.0,27.0,37.0,25.0,0.0,999.9,0,666
2017-01-10,2017,01,10,2,35.6,26.3,1037.4,10.0,13.6,20.0,999.9,42.1,15.1,0.0,999.9,0,597
2017-01-04,2017,01,04,3,46.5,43.7,996.4,6.2,13.6,21.0,28.0,53.1,42.1,0.87,999.9,1,590
2013-01-16,2013,01,16,3,41.6,40.0,1018.3,7.0,8.8,21.0,27.0,45.0,39.2,0.35,999.9,0,578
2017-01-03,2017,01,03,2,44.3,40.7,1020.7,5.4,15.2,21.0,31.1,48.9,42.1,0.11,999.9,0,659
2013-01-25,2013,01,25,5,19.0,3.3,1023.1,10.0,13.6,21.0,32.1,26.1,14.0,0.0,999.9,0,674
2017-01-13,2017,01,13,5,46.8,37.5,1022.8,7.2,12.6,21.0,25.1,50.0,37.9,0.39,999.9,0,604
2013-01-10,2013,01,10,4,43.5,30.4,1024.0,9.9,14.7,21.0,32.1,48.0,36.0,0.0,999.9,0,555
2013-01-23,2013,01,23,3,16.2,-1.1,1018.6,10.0,15.6,21.0,28.9,21.9,12.9,0.01,999.9,0,545
2013-01-01,2013,01,01,2,38.0,25.6,1008.8,10.0,15.0,21.0,28.0,41.0,33.1,0.0,999.9,0,381
2019-01-14,2019,01,14,1,32.8,22.5,1021.6,10.0,15.3,21.0,26.0,35.1,19.9,0.0,999.9,0,703
2019-01-05,2019,01,05,6,43.8,42.4,1005.8,5.0,11.8,21.0,31.1,46.9,30.9,0.25,999.9,0,455
2015-01-08,2015,01,08,4,13.1,-2.4,1022.7,9.9,14.8,21.0,29.9,27.0,6.1,0.0,999.9,0,573
2015-01-17,2015,01,17,6,20.2,1.9,1023.6,10.0,13.3,21.0,31.1,39.9,15.1,0.0,999.9,0,495
2019-01-21,2019,01,21,1,13.7,6.3,1003.4,7.0,17.0,21.0,33.0,28.9,6.1,1.5,999.9,0,412
2015-01-06,2015,01,06,2,20.8,5.2,1025.2,8.8,10.3,21.0,31.1,28.0,19.0,0.0,999.9,0,777
2018-01-09,2018,01,09,2,38.3,32.3,1016.8,9.3,14.6,21.0,28.0,43.0,30.9,0.01,999.9,0,684
2014-01-01,2014,01,01,3,28.2,10.4,1025.6,10.0,11.3,21.0,28.9,32.0,25.0,0.0,999.9,0,399
2018-01-26,2018,01,26,5,25.3,7.0,1035.0,10.0,14.4,21.0,31.1,32.0,21.0,0.0,999.9,0,677
2014-01-04,2014,01,04,6,18.8,10.9,1030.5,9.3,12.1,21.0,26.0,35.1,8.1,0.01,999.9,0,418
2013-01-04,2013,01,04,5,32.2,21.1,1015.2,10.0,11.3,22.0,29.9,41.0,24.1,0.0,999.9,0,505
2016-01-22,2016,01,22,5,28.0,11.8,1020.4,10.0,13.1,22.0,29.9,35.1,21.9,0.0,999.9,0,702
2019-01-07,2019,01,07,1,27.4,11.7,1024.8,10.0,17.4,22.0,31.1,45.0,21.9,0.0,999.9,0,583
2014-01-21,2014,01,21,2,29.2,17.5,1012.1,8.5,12.6,22.0,28.9,46.9,23.0,0.0,999.9,1,1161
2015-01-25,2015,01,25,7,36.5,26.7,1000.4,9.4,16.0,22.0,32.1,45.0,33.1,0.9,999.9,0,406
2019-01-09,2019,01,09,3,44.4,39.6,997.6,5.6,13.4,22.0,34.0,46.9,28.9,0.12,999.9,1,514
2014-01-26,2014,01,26,7,26.8,15.4,1004.7,9.4,17.8,22.9,29.9,41.0,21.0,0.03,999.9,0,465
2014-01-11,2014,01,11,6,44.8,43.0,1019.0,4.4,13.4,22.9,32.1,51.8,37.9,0.0,999.9,1,465
2017-01-05,2017,01,05,4,36.4,19.7,1007.8,10.0,15.4,22.9,33.0,48.0,32.0,0.0,999.9,0,552
2015-01-13,2015,01,13,2,32.6,25.6,1028.5,8.4,16.3,22.9,28.9,52.0,26.1,0.82,999.9,0,613
2015-01-04,2015,01,04,7,48.6,46.9,1015.4,1.9,15.5,22.9,28.9,54.0,30.0,0.21,999.9,1,381
2013-01-27,2013,01,27,7,21.7,4.7,1025.6,10.0,16.3,22.9,35.0,28.9,17.1,0.0,999.9,0,429
2016-01-03,2016,01,03,7,44.4,29.4,1010.4,10.0,15.5,22.9,33.0,52.0,34.0,0.0,999.9,0,432
2013-01-24,2013,01,24,4,14.3,-1.9,1018.7,10.0,15.5,22.9,29.9,19.9,10.0,0.0,999.9,0,554
2013-01-19,2013,01,19,6,35.9,26.6,1026.4,9.2,15.3,24.1,32.1,46.9,16.0,0.0,999.9,0,484
2013-01-18,2013,01,18,5,28.1,16.6,1023.2,7.5,15.0,24.1,32.1,39.9,15.1,0.01,999.9,1,561
2017-01-25,2017,01,25,3,41.1,35.1,995.2,8.5,17.4,24.1,33.0,55.0,37.9,0.4,999.9,0,576
2014-01-20,2014,01,20,1,41.0,27.9,1003.2,10.0,16.8,24.1,35.0,46.9,34.0,0.0,999.9,0,360
2015-01-26,2015,01,26,1,31.2,20.9,1015.7,6.7,12.7,24.1,31.1,43.0,26.1,0.0,999.9,0,484
2016-01-11,2016,01,11,1,43.2,30.5,1005.5,8.4,17.5,24.1,31.1,57.9,35.1,2.17,999.9,1,680
2016-01-04,2016,01,04,1,38.2,27.4,1011.5,10.0,13.5,24.1,31.1,52.0,34.0,0.0,999.9,0,601
2020-01-08,2020,01,08,3,37.2,31.1,1009.8,8.4,14.1,24.1,35.0,43.0,33.1,0.49,999.9,1,451
2015-01-01,2015,01,01,4,31.8,15.1,1018.6,9.9,13.6,24.1,33.0,39.9,21.9,0.0,999.9,0,395
2015-01-24,2015,01,24,6,38.5,34.8,1003.3,6.7,12.4,25.1,33.0,45.0,27.0,0.23,999.9,0,428
2014-01-02,2014,01,02,4,31.1,22.4,1020.8,5.8,10.9,25.1,34.0,35.6,26.1,0.0,999.9,0,603
2018-01-20,2018,01,20,6,38.1,32.5,1010.9,10.0,14.3,25.1,34.0,46.9,24.1,0.0,999.9,0,530
2015-01-19,2015,01,19,1,41.7,36.0,1005.0,8.2,13.5,25.1,46.0,50.0,30.9,0.26,999.9,0,496
2015-01-16,2015,01,16,5,34.5,23.4,1008.6,10.0,14.9,25.1,34.0,39.9,28.9,0.02,999.9,0,563
2017-01-28,2017,01,28,6,38.7,23.1,1000.8,10.0,18.3,25.1,33.0,45.0,36.0,0.0,999.9,0,501
2015-01-18,2015,01,18,7,40.0,32.8,1021.4,9.2,13.4,25.1,31.1,50.0,14.0,0.0,999.9,0,961
2019-01-25,2019,01,25,5,37.0,28.5,1010.5,8.9,14.0,26.0,35.0,52.0,30.0,0.28,999.9,0,666
2018-01-23,2018,01,23,2,45.3,45.3,1012.9,4.4,16.2,26.0,35.9,51.1,27.0,0.0,999.9,1,531
2018-01-08,2018,01,08,1,35.0,28.0,1023.6,9.9,18.3,26.0,33.0,42.1,21.9,0.0,999.9,0,720
2015-01-07,2015,01,07,3,22.6,10.2,1011.8,9.4,12.1,26.0,35.9,27.0,17.1,0.0,999.9,0,538
2018-01-29,2018,01,29,1,40.3,37.7,1021.4,6.9,12.1,26.0,34.0,46.0,37.0,0.2,999.9,1,531
2017-01-23,2017,01,23,1,40.9,34.4,1011.4,8.8,18.6,26.0,38.1,44.1,37.4,0.0,999.9,0,667
2019-01-20,2019,01,20,7,43.2,42.4,1012.4,2.8,17.0,27.0,36.9,52.0,28.0,0.61,999.9,1,411
2017-01-11,2017,01,11,3,45.0,40.9,1027.3,6.5,15.1,27.0,34.0,50.0,28.9,0.33,999.9,0,629
2016-01-20,2016,01,20,3,29.4,11.2,1014.4,10.0,18.9,27.0,36.9,37.0,21.9,0.0,999.9,0,623
2015-01-31,2015,01,31,6,24.5,12.9,1006.9,7.8,20.3,27.0,36.9,34.0,17.1,0.06,999.9,0,526
